ID,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,health,absences,G1,G2,G3,curso,alcohol
142,GP,M,16,U,LE3,T,5th to 9th grade,5th to 9th grade,services,services,reputation,father,15 to 30 min.,<2 hours,2,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,8,9,9,9,mat,No
143,GP,F,15,U,GT3,T,higher education,higher education,teacher,services,course,mother,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,5,2,9,11,11,mat,No
144,GP,F,16,U,LE3,T,primary education (4th grade),primary education (4th grade),at_home,at_home,course,mother,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,3,4,4,1,2,14,14,13,mat,Si
145,GP,M,17,U,GT3,T,5th to 9th grade,primary education (4th grade),other,other,home,mother,<15 min,<2 hours,3,no,yes,no,no,yes,yes,yes,no,5,4,5,5,0,5,0,0,mat,No
146,GP,F,15,U,GT3,T,primary education (4th grade),primary education (4th grade),other,services,course,father,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,5,0,8,11,11,mat,No
147,GP,F,15,U,GT3,T,secondary education,5th to 9th grade,health,services,home,father,<15 min,2 to 5 hours,3,no,yes,no,no,yes,yes,yes,no,3,3,2,3,0,6,7,0,mat,No
148,GP,F,15,U,GT3,T,primary education (4th grade),5th to 9th grade,at_home,other,course,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,4,3,2,5,2,10,11,11,mat,No
149,GP,M,16,U,GT3,T,higher education,higher education,teacher,teacher,course,mother,<15 min,<2 hours,0,no,yes,no,no,yes,no,yes,yes,3,3,2,5,0,7,6,0,mat,No
150,GP,M,15,U,LE3,A,5th to 9th grade,primary education (4th grade),services,other,course,mother,>1 hour,<2 hours,3,no,no,no,no,yes,yes,yes,no,4,5,5,5,0,8,9,10,mat,Si
151,GP,M,18,U,LE3,T,primary education (4th grade),primary education (4th grade),other,other,course,mother,<15 min,<2 hours,3,no,no,no,no,yes,no,yes,yes,2,3,5,4,0,6,5,0,mat,Si
152,GP,M,16,U,LE3,T,5th to 9th grade,primary education (4th grade),at_home,other,course,mother,<15 min,<2 hours,1,no,no,no,yes,yes,yes,no,yes,4,4,4,5,6,12,13,14,mat,Si
153,GP,F,15,R,GT3,T,secondary education,secondary education,services,services,reputation,other,15 to 30 min.,5 to 10 hours,2,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,3,8,10,10,10,mat,No
154,GP,M,19,U,GT3,T,secondary education,5th to 9th grade,services,at_home,home,mother,<15 min,<2 hours,3,no,yes,no,no,yes,no,yes,yes,4,5,4,4,0,5,0,0,mat,No
155,GP,F,17,U,GT3,T,higher education,higher education,other,teacher,course,mother,<15 min,<2 hours,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,4,0,11,11,12,mat,No
156,GP,M,15,R,GT3,T,5th to 9th grade,secondary education,at_home,services,course,mother,<15 min,2 to 5 hours,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,2,11,8,8,mat,No
157,GP,M,17,R,LE3,T,primary education (4th grade),5th to 9th grade,other,other,reputation,mother,<15 min,<2 hours,0,no,no,no,no,yes,yes,no,no,2,2,2,5,8,16,12,13,mat,Si
158,GP,F,18,R,GT3,T,primary education (4th grade),primary education (4th grade),at_home,other,course,mother,30 min to 1 hour,<2 hours,3,no,yes,no,yes,no,yes,no,no,5,2,5,4,6,9,8,10,mat,No
159,GP,M,16,R,GT3,T,5th to 9th grade,5th to 9th grade,at_home,other,course,mother,30 min to 1 hour,<2 hours,0,no,no,no,no,no,yes,no,no,4,2,2,3,2,17,15,15,mat,No
160,GP,M,16,U,GT3,T,secondary education,secondary education,other,services,course,father,<15 min,2 to 5 hours,1,no,yes,yes,no,yes,yes,yes,yes,4,5,5,5,4,10,12,12,mat,Si
161,GP,M,17,R,LE3,T,5th to 9th grade,primary education (4th grade),at_home,other,course,mother,15 to 30 min.,<2 hours,2,no,no,no,yes,yes,no,yes,yes,3,3,2,5,0,7,6,0,mat,No
162,GP,M,15,R,GT3,T,secondary education,5th to 9th grade,other,other,course,mother,15 to 30 min.,2 to 5 hours,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,3,6,5,9,7,mat,No
163,GP,M,16,U,LE3,T,primary education (4th grade),5th to 9th grade,other,other,course,mother,15 to 30 min.,<2 hours,1,no,no,no,yes,yes,yes,no,no,4,4,4,5,0,7,0,0,mat,Si
164,GP,M,17,U,GT3,T,primary education (4th grade),secondary education,at_home,services,course,father,<15 min,<2 hours,0,no,no,no,no,yes,no,yes,no,5,3,3,2,2,10,10,10,mat,No
165,GP,M,17,R,LE3,T,primary education (4th grade),primary education (4th grade),other,services,course,mother,>1 hour,2 to 5 hours,3,no,no,no,yes,yes,no,no,yes,5,3,5,5,0,5,8,7,mat,No
166,GP,M,16,U,GT3,T,secondary education,5th to 9th grade,services,services,course,mother,15 to 30 min.,<2 hours,1,no,yes,no,yes,no,no,no,no,4,5,2,2,16,12,11,12,mat,No
167,GP,M,16,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,course,father,<15 min,2 to 5 hours,0,no,no,no,no,yes,no,yes,no,4,3,5,4,4,10,10,10,mat,Si
168,GP,F,16,U,GT3,T,higher education,5th to 9th grade,health,services,home,father,<15 min,2 to 5 hours,0,no,no,yes,no,yes,yes,yes,yes,4,2,3,3,0,14,15,16,mat,No
169,GP,F,16,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,home,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,5,1,5,4,0,6,7,0,mat,No
170,GP,F,16,U,GT3,T,higher education,higher education,health,health,reputation,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,yes,4,4,2,3,0,14,14,14,mat,No
171,GP,M,16,U,GT3,T,secondary education,higher education,other,other,course,father,30 min to 1 hour,<2 hours,2,no,yes,no,yes,no,yes,yes,no,3,4,5,2,0,6,5,0,mat,Si
172,GP,M,16,U,GT3,T,primary education (4th grade),None,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,3,2,13,15,16,mat,No
173,GP,M,17,U,LE3,T,higher education,higher education,teacher,other,reputation,mother,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,5,0,13,11,10,mat,No
174,GP,F,16,U,GT3,T,primary education (4th grade),secondary education,at_home,services,home,mother,<15 min,2 to 5 hours,3,no,no,no,yes,no,yes,yes,yes,4,3,5,3,0,8,7,0,mat,No
175,GP,F,16,U,LE3,T,secondary education,secondary education,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,4,5,4,4,10,11,9,mat,No
176,GP,M,17,U,LE3,T,higher education,secondary education,teacher,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,4,4,10,9,9,mat,Si
177,GP,F,16,U,GT3,T,5th to 9th grade,5th to 9th grade,services,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,no,yes,yes,no,yes,yes,no,3,4,4,5,2,13,13,11,mat,No
178,GP,M,17,U,GT3,T,secondary education,secondary education,other,other,reputation,father,<15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,4,3,4,4,4,6,5,6,mat,No
179,GP,M,16,R,GT3,T,higher education,5th to 9th grade,teacher,services,other,mother,<15 min,<2 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,3,10,10,8,9,mat,Si
180,GP,M,17,U,GT3,T,higher education,secondary education,other,other,course,mother,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,5,2,3,2,4,10,10,11,mat,No
181,GP,M,16,U,GT3,T,higher education,secondary education,teacher,other,home,mother,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,3,4,3,3,10,9,8,8,mat,No
182,GP,M,16,U,GT3,T,secondary education,secondary education,services,other,home,mother,<15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,3,2,12,13,12,mat,No
183,GP,F,17,U,GT3,T,5th to 9th grade,higher education,services,services,reputation,father,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,5,4,2,5,0,16,17,17,mat,No
184,GP,F,17,U,LE3,T,secondary education,secondary education,other,other,reputation,mother,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,5,3,3,1,56,9,9,8,mat,No
185,GP,F,16,U,GT3,T,secondary education,5th to 9th grade,other,other,reputation,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,1,2,2,1,14,12,13,12,mat,No
186,GP,M,17,U,GT3,T,secondary education,secondary education,services,services,other,mother,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,4,12,12,12,11,mat,No
187,GP,M,16,U,GT3,T,primary education (4th grade),5th to 9th grade,services,services,other,mother,<15 min,<2 hours,0,no,yes,yes,yes,yes,yes,yes,yes,3,3,3,3,2,11,12,11,mat,No
188,GP,M,16,U,LE3,T,5th to 9th grade,primary education (4th grade),other,other,course,mother,<15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,5,0,15,15,15,mat,No
189,GP,F,17,U,GT3,A,secondary education,secondary education,health,other,reputation,mother,<15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,yes,3,3,3,3,6,8,7,9,mat,No
190,GP,M,17,R,GT3,T,primary education (4th grade),5th to 9th grade,at_home,other,home,mother,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,no,no,3,1,3,3,4,8,9,10,mat,No
191,GP,F,16,U,GT3,T,5th to 9th grade,secondary education,services,services,course,mother,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,3,3,2,10,11,12,13,mat,No
192,GP,F,17,U,GT3,T,primary education (4th grade),primary education (4th grade),at_home,services,course,mother,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,5,3,3,3,0,8,8,9,mat,No
193,GP,M,17,U,GT3,T,primary education (4th grade),5th to 9th grade,at_home,services,other,other,15 to 30 min.,2 to 5 hours,0,no,no,yes,yes,no,yes,yes,no,4,4,4,5,12,7,8,8,mat,Si
194,GP,M,16,R,GT3,T,secondary education,secondary education,services,services,reputation,mother,<15 min,<2 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,5,8,8,9,10,mat,Si
195,GP,M,16,U,GT3,T,5th to 9th grade,secondary education,other,other,home,father,15 to 30 min.,<2 hours,0,no,no,no,no,yes,yes,yes,no,5,3,3,3,0,13,14,14,mat,No
196,GP,F,17,U,LE3,T,5th to 9th grade,higher education,services,services,course,father,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,5,0,14,15,15,mat,No
197,GP,M,17,U,GT3,T,higher education,higher education,services,teacher,home,mother,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,5,2,3,5,4,17,15,16,mat,No
198,GP,M,16,R,LE3,T,secondary education,secondary education,teacher,other,home,father,30 min to 1 hour,<2 hours,0,no,yes,yes,yes,yes,yes,yes,no,3,3,4,3,8,9,9,10,mat,Si
199,GP,F,17,U,GT3,T,higher education,higher education,services,teacher,home,mother,15 to 30 min.,<2 hours,1,no,yes,no,no,yes,yes,yes,no,4,2,4,2,24,18,18,18,mat,No
200,GP,F,16,U,LE3,T,higher education,higher education,teacher,teacher,reputation,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,5,2,3,0,9,9,10,mat,No
201,GP,F,16,U,GT3,T,higher education,secondary education,health,other,home,mother,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,2,2,16,16,16,mat,No
202,GP,F,16,U,GT3,T,5th to 9th grade,secondary education,other,other,reputation,mother,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,no,no,4,4,3,4,6,8,10,10,mat,No
203,GP,F,17,U,GT3,T,primary education (4th grade),primary education (4th grade),other,other,course,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,no,no,4,4,4,1,4,9,9,10,mat,No
204,GP,F,17,R,GT3,T,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,<15 min,<2 hours,0,no,yes,no,no,yes,yes,yes,no,5,3,2,3,18,7,6,6,mat,No
205,GP,F,16,R,GT3,T,5th to 9th grade,5th to 9th grade,services,services,reputation,mother,15 to 30 min.,>10 hours,0,no,yes,yes,yes,no,yes,yes,no,5,3,5,5,6,10,10,11,mat,No
206,GP,F,17,U,GT3,T,secondary education,higher education,at_home,services,home,mother,<15 min,5 to 10 hours,1,no,yes,yes,no,yes,yes,yes,yes,4,4,3,5,28,10,9,9,mat,Si
207,GP,F,16,U,GT3,A,secondary education,primary education (4th grade),services,other,course,mother,<15 min,2 to 5 hours,3,no,yes,yes,no,yes,yes,yes,no,2,3,3,4,5,7,7,7,mat,No
208,GP,F,16,U,GT3,T,higher education,secondary education,teacher,other,other,mother,<15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,1,3,2,1,10,11,12,13,mat,No
209,GP,F,16,U,GT3,T,primary education (4th grade),primary education (4th grade),at_home,other,home,mother,15 to 30 min.,<2 hours,0,no,yes,yes,no,yes,yes,no,no,4,3,2,5,6,9,9,10,mat,No
210,GP,F,17,R,GT3,T,higher education,secondary education,teacher,other,reputation,mother,15 to 30 min.,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,2,4,6,7,7,7,mat,No
211,GP,F,19,U,GT3,T,secondary education,secondary education,other,other,reputation,other,<15 min,>10 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,3,10,8,8,8,mat,No
212,GP,M,17,U,LE3,T,higher education,higher education,services,other,home,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,yes,5,3,5,3,13,12,12,13,mat,Si
213,GP,F,16,U,GT3,A,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,<15 min,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,4,0,12,13,14,mat,No
214,GP,M,18,U,GT3,T,5th to 9th grade,5th to 9th grade,services,other,home,mother,<15 min,2 to 5 hours,1,no,yes,yes,yes,yes,yes,yes,no,4,4,4,5,15,6,7,8,mat,Si
215,GP,F,17,R,LE3,T,higher education,higher education,services,other,other,mother,<15 min,<2 hours,0,no,yes,yes,no,yes,yes,no,no,5,2,1,3,12,8,10,10,mat,No
216,GP,F,17,U,LE3,T,secondary education,5th to 9th grade,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,no,yes,no,yes,yes,yes,no,4,4,4,1,2,14,15,15,mat,No
217,GP,F,17,U,GT3,T,higher education,secondary education,other,other,reputation,mother,<15 min,2 to 5 hours,2,no,no,yes,no,yes,yes,yes,yes,3,4,5,1,22,6,6,4,mat,Si
218,GP,M,18,U,LE3,T,secondary education,secondary education,services,health,home,father,<15 min,2 to 5 hours,1,no,yes,yes,no,yes,yes,yes,no,3,2,4,4,13,6,6,8,mat,Si
219,GP,F,17,U,GT3,T,5th to 9th grade,secondary education,at_home,other,home,father,15 to 30 min.,<2 hours,0,no,yes,yes,no,yes,yes,no,no,3,3,3,3,3,7,7,8,mat,No
220,GP,F,17,U,GT3,T,5th to 9th grade,5th to 9th grade,at_home,at_home,course,mother,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,4,4,9,10,10,mat,No
221,GP,F,17,R,GT3,T,5th to 9th grade,primary education (4th grade),at_home,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,5,2,6,6,6,mat,No
222,GP,F,17,U,GT3,T,primary education (4th grade),primary education (4th grade),at_home,other,reputation,mother,<15 min,5 to 10 hours,1,no,yes,no,yes,yes,yes,no,yes,4,3,4,5,0,6,5,0,mat,No
223,GP,F,16,U,GT3,T,5th to 9th grade,secondary education,services,teacher,other,mother,<15 min,2 to 5 hours,0,yes,no,no,no,yes,yes,yes,no,2,3,1,3,2,16,16,17,mat,No
224,GP,M,18,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,4,0,12,13,13,mat,Si
225,GP,F,16,U,GT3,T,higher education,higher education,teacher,services,home,mother,<15 min,5 to 10 hours,0,no,yes,no,yes,no,yes,yes,no,5,3,2,5,0,13,13,14,mat,No
226,GP,F,18,R,GT3,T,secondary education,primary education (4th grade),other,other,reputation,mother,<15 min,2 to 5 hours,1,no,no,no,yes,yes,yes,yes,yes,5,3,3,4,16,9,8,7,mat,No
227,GP,F,17,U,GT3,T,secondary education,5th to 9th grade,other,other,course,mother,<15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,5,3,4,3,10,16,15,15,mat,No
228,GP,M,17,U,LE3,T,5th to 9th grade,secondary education,services,services,reputation,father,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,5,3,3,3,2,12,11,12,mat,No
229,GP,M,18,U,LE3,T,5th to 9th grade,primary education (4th grade),at_home,other,course,mother,>1 hour,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,4,3,2,3,14,10,8,9,mat,Si
230,GP,F,17,U,GT3,A,5th to 9th grade,primary education (4th grade),other,other,course,mother,15 to 30 min.,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,3,10,12,10,12,mat,No
231,GP,F,17,U,LE3,T,higher education,secondary education,health,other,reputation,father,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,3,14,13,13,14,mat,No
232,GP,M,17,R,GT3,T,5th to 9th grade,5th to 9th grade,other,other,course,father,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,5,2,1,4,11,11,11,mat,No
233,GP,M,17,U,GT3,T,higher education,higher education,teacher,teacher,reputation,mother,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,yes,4,5,5,2,14,11,9,9,mat,No
234,GP,M,16,U,GT3,T,higher education,higher education,health,other,reputation,father,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,2,4,1,2,14,13,13,mat,Si
235,GP,M,16,U,LE3,T,primary education (4th grade),primary education (4th grade),other,other,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,3,4,2,5,18,9,7,6,mat,No
236,GP,M,16,U,GT3,T,secondary education,5th to 9th grade,at_home,other,reputation,mother,15 to 30 min.,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,2,10,11,9,10,mat,No
237,GP,M,17,U,LE3,T,5th to 9th grade,5th to 9th grade,other,other,home,father,<15 min,2 to 5 hours,0,no,no,yes,yes,no,yes,yes,yes,4,4,2,4,4,14,13,13,mat,Si
238,GP,F,16,U,GT3,T,5th to 9th grade,primary education (4th grade),other,other,home,mother,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,yes,4,5,2,5,20,13,12,12,mat,No
239,GP,F,17,R,GT3,T,5th to 9th grade,primary education (4th grade),at_home,services,course,mother,30 min to 1 hour,2 to 5 hours,0,no,no,no,yes,yes,yes,no,no,2,1,1,3,2,13,11,11,mat,No
240,GP,M,18,U,GT3,T,5th to 9th grade,5th to 9th grade,other,services,reputation,father,<15 min,2 to 5 hours,1,no,no,no,no,yes,no,yes,no,5,5,4,2,0,7,7,0,mat,Si
241,GP,M,17,U,LE3,T,higher education,secondary education,health,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,2,5,5,5,14,12,12,12,mat,No
242,GP,M,17,R,LE3,A,higher education,higher education,teacher,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,4,2,10,11,12,mat,No
243,GP,M,16,U,LE3,T,higher education,secondary education,teacher,other,course,mother,<15 min,<2 hours,0,no,no,no,yes,no,yes,yes,no,5,4,5,3,0,6,0,0,mat,No
244,GP,M,16,U,GT3,T,higher education,higher education,services,services,course,mother,<15 min,<2 hours,0,no,no,no,yes,yes,yes,yes,no,5,3,2,5,0,13,12,12,mat,No
245,GP,F,18,U,GT3,T,5th to 9th grade,primary education (4th grade),other,other,course,other,15 to 30 min.,5 to 10 hours,0,no,yes,yes,no,no,yes,yes,yes,4,4,4,3,0,7,0,0,mat,No
246,GP,M,16,U,GT3,T,5th to 9th grade,primary education (4th grade),other,other,course,mother,30 min to 1 hour,<2 hours,0,no,no,no,no,yes,yes,yes,no,4,3,3,4,6,18,18,18,mat,No
247,GP,M,17,U,GT3,T,5th to 9th grade,secondary education,other,other,course,father,15 to 30 min.,<2 hours,0,no,no,no,no,yes,yes,yes,no,5,2,2,2,4,12,12,13,mat,No
248,GP,M,22,U,GT3,T,secondary education,primary education (4th grade),services,services,other,mother,<15 min,<2 hours,3,no,no,no,no,no,no,yes,yes,5,4,5,1,16,6,8,8,mat,Si
249,GP,M,18,R,LE3,T,secondary education,secondary education,other,services,course,mother,<15 min,2 to 5 hours,1,no,yes,no,no,yes,yes,yes,yes,4,3,3,5,8,3,5,5,mat,No
250,GP,M,16,U,GT3,T,None,5th to 9th grade,other,other,other,mother,<15 min,<2 hours,0,no,no,yes,no,no,yes,yes,no,4,3,2,5,0,13,15,15,mat,Si
251,GP,M,18,U,GT3,T,secondary education,5th to 9th grade,services,other,course,mother,15 to 30 min.,<2 hours,1,no,no,no,no,yes,no,yes,no,4,4,5,5,0,6,8,8,mat,Si
252,GP,M,16,U,GT3,T,secondary education,secondary education,at_home,other,reputation,other,30 min to 1 hour,2 to 5 hours,0,yes,yes,no,no,no,yes,yes,no,5,3,3,2,6,7,10,10,mat,No
253,GP,M,18,U,GT3,T,5th to 9th grade,primary education (4th grade),services,services,other,mother,<15 min,<2 hours,1,no,no,no,no,no,no,yes,no,3,2,5,5,4,6,9,8,mat,Si
254,GP,M,16,R,GT3,T,5th to 9th grade,primary education (4th grade),other,other,course,mother,15 to 30 min.,<2 hours,0,no,no,no,yes,no,yes,no,no,3,3,2,3,0,8,9,8,mat,No
255,GP,M,17,R,GT3,T,5th to 9th grade,primary education (4th grade),other,other,course,mother,<15 min,<2 hours,0,no,no,no,no,no,yes,yes,no,4,4,2,5,0,8,12,12,mat,Si
256,GP,M,17,U,LE3,T,primary education (4th grade),primary education (4th grade),health,other,course,mother,15 to 30 min.,<2 hours,1,no,yes,no,yes,yes,yes,yes,no,4,4,4,5,2,7,9,8,mat,No
257,GP,F,17,U,LE3,T,higher education,5th to 9th grade,teacher,services,reputation,mother,<15 min,>10 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,2,3,4,6,14,12,13,mat,No
258,GP,M,19,U,LE3,A,higher education,secondary education,services,at_home,reputation,mother,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,3,1,1,12,11,11,11,mat,No
259,GP,M,18,U,GT3,T,5th to 9th grade,primary education (4th grade),other,other,home,mother,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,5,2,4,4,8,15,14,14,mat,No
260,GP,F,17,U,LE3,T,5th to 9th grade,5th to 9th grade,services,services,course,father,<15 min,>10 hours,0,no,no,yes,yes,yes,yes,yes,yes,3,4,1,2,0,10,9,0,mat,No
261,GP,F,18,U,GT3,T,higher education,secondary education,services,other,home,father,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,yes,3,1,2,2,21,17,18,18,mat,No
262,GP,M,18,U,GT3,T,higher education,secondary education,teacher,other,course,mother,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,4,3,2,3,2,8,8,8,mat,No
263,GP,M,18,R,GT3,T,secondary education,5th to 9th grade,other,other,course,mother,<15 min,5 to 10 hours,0,no,no,no,yes,no,yes,no,no,5,3,2,3,1,13,12,12,mat,No
264,GP,F,17,U,GT3,T,secondary education,secondary education,other,other,home,mother,<15 min,5 to 10 hours,0,no,no,no,yes,no,yes,no,no,3,2,3,4,4,10,9,9,mat,No
265,GP,F,18,U,GT3,T,5th to 9th grade,5th to 9th grade,at_home,services,home,mother,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,3,0,9,10,0,mat,No
266,GP,M,18,R,LE3,A,secondary education,higher education,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,2,5,1,13,17,17,17,mat,Si
267,GP,M,17,U,GT3,T,secondary education,primary education (4th grade),services,other,other,mother,<15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,5,4,4,5,2,9,9,10,mat,Si
268,GP,F,18,R,GT3,T,higher education,higher education,teacher,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,no,4,3,4,4,8,12,10,11,mat,No
269,GP,M,18,U,GT3,T,higher education,5th to 9th grade,health,other,reputation,father,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,5,10,10,9,10,mat,No
270,GP,F,18,R,GT3,T,5th to 9th grade,primary education (4th grade),other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,no,yes,yes,4,3,5,3,0,6,0,0,mat,No
271,GP,F,19,U,GT3,T,secondary education,secondary education,other,services,home,other,<15 min,2 to 5 hours,2,no,yes,yes,yes,yes,yes,yes,no,4,3,5,5,15,9,9,9,mat,Si
272,GP,F,18,U,GT3,T,5th to 9th grade,secondary education,other,services,reputation,father,<15 min,>10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,5,5,2,4,15,14,14,mat,No
273,GP,F,18,U,LE3,T,primary education (4th grade),primary education (4th grade),other,other,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,no,yes,no,no,4,4,3,3,2,11,11,11,mat,No
274,GP,M,17,R,GT3,T,primary education (4th grade),5th to 9th grade,at_home,at_home,home,mother,<15 min,2 to 5 hours,0,no,yes,yes,yes,no,yes,no,yes,3,5,2,1,2,15,14,14,mat,No
275,GP,F,17,U,GT3,T,5th to 9th grade,higher education,at_home,health,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,2,10,10,10,mat,No
276,GP,F,17,U,LE3,T,5th to 9th grade,5th to 9th grade,services,other,course,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,yes,4,4,4,5,6,12,12,12,mat,No
277,GP,F,18,R,GT3,A,secondary education,5th to 9th grade,other,services,home,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,no,no,no,yes,yes,4,1,1,5,75,10,9,9,mat,No
278,GP,M,18,U,GT3,T,higher education,higher education,teacher,services,home,mother,15 to 30 min.,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,3,2,4,3,22,9,9,9,mat,No
279,GP,F,18,U,GT3,T,higher education,higher education,health,health,reputation,father,<15 min,2 to 5 hours,1,yes,yes,no,yes,yes,yes,yes,yes,2,4,4,4,15,9,8,8,mat,No
280,GP,M,18,U,LE3,T,higher education,secondary education,teacher,services,course,mother,15 to 30 min.,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,4,2,3,1,8,10,11,10,mat,No
281,GP,M,17,U,LE3,A,higher education,primary education (4th grade),services,other,home,mother,15 to 30 min.,<2 hours,0,no,no,yes,yes,yes,yes,yes,yes,4,5,4,5,30,8,8,8,mat,Si
